Registration Number,Username,Password,Email,Phone Number,User Type
CB.EN.U4MEC20016,Amy Vasquez,    statement,cb.en.u4mec20016@cb.students.amrita.edu,+91-755-568-8152,STUDENT
CB.EN.U4MEC20017,Iona Rivers,    constitution,cb.en.u4mec20017@cb.students.amrita.edu,+91-855-586-2699,STUDENT
CB.EN.U4MEC20018,Marco Hough,    president,cb.en.u4mec20018@cb.students.amrita.edu,+91-755-571-5569,STUDENT
CB.EN.U4MEC20019,Rico Quintero,    incongruous,cb.en.u4mec20019@cb.students.amrita.edu,+91-855-597-6098,STUDENT
CB.EN.U4MEC20020,Jonah Mueller,    prejudice,cb.en.u4mec20020@cb.students.amrita.edu,+91-855-510-6686,STUDENT
CB.EN.P2CSE20000,Mehmet Richards,    available,cb.en.p2cse20000@cb.students.amrita.edu,+91-925-550-2655,STUDENT
CB.EN.P2CSE20001,Moses Mackenzie,    copyright,cb.en.p2cse20001@cb.students.amrita.edu,+91-755-539-1768,STUDENT
CB.EN.P2CSE20002,Arfa Foley,    competition,cb.en.p2cse20002@cb.students.amrita.edu,+91-755-550-7974,STUDENT
CB.EN.P2CSE20003,Yasemin Leon,    frequency,cb.en.p2cse20003@cb.students.amrita.edu,+91-855-533-0192,STUDENT
CB.EN.P2CSE20004,Gavin Forster,    illustrate,cb.en.p2cse20004@cb.students.amrita.edu,+91-855-503-1598,STUDENT
CB.EN.P2CSE20005,Alicia Mcculloch,    generation,cb.en.p2cse20005@cb.students.amrita.edu,+91-755-575-3832,STUDENT
CB.EN.P2ECE20000,Bogdan Rush,    motorcycle,cb.en.p2ece20000@cb.students.amrita.edu,+91-915-552-0362,STUDENT
CB.EN.P2ECE20001,Diogo Edwards,    fashionable,cb.en.p2ece20001@cb.students.amrita.edu,+91-985-557-2330,STUDENT
CB.EN.P2ECE20002,Israel Betts,    photocopy,cb.en.p2ece20002@cb.students.amrita.edu,+91-755-520-8823,STUDENT
CB.EN.P2ECE20003,Blanka Shepherd,    communist,cb.en.p2ece20003@cb.students.amrita.edu,+91-855-597-1225,STUDENT
CB.EN.P2ECE20004,Jonny Gilliam,    repetition,cb.en.p2ece20004@cb.students.amrita.edu,+91-755-522-8468,STUDENT
CB.EN.P2ECE20005,Cherry Mckinney,    satisfaction,cb.en.p2ece20005@cb.students.amrita.edu,+91-855-549-1606,STUDENT
CB.EN.P2EEE20000,Kerri Keller,    negligence,cb.en.p2eee20000@cb.students.amrita.edu,+91-755-548-7628,STUDENT
CB.EN.P2EEE20001,Kacy Strickland,    disagreement,cb.en.p2eee20001@cb.students.amrita.edu,+91-755-553-4987,STUDENT
CB.EN.P2EEE20002,Terrence Keenan,    inappropriate,cb.en.p2eee20002@cb.students.amrita.edu,+91-925-552-2450,STUDENT
CB.EN.P2EEE20003,Timur Cochran,    broadcast,cb.en.p2eee20003@cb.students.amrita.edu,+91-755-502-2926,STUDENT
CB.EN.P2EEE20004,Tatiana Jefferson,    vegetation,cb.en.p2eee20004@cb.students.amrita.edu,+91-755-540-7859,STUDENT
CB.EN.P2EEE20005,Mac Montoya,    intelligence,cb.en.p2eee20005@cb.students.amrita.edu,+91-855-552-8637,STUDENT
CB.EN.P2EEE20006,Ellie-Mai Mcdonald,    orientation,cb.en.p2eee20006@cb.students.amrita.edu,+91-955-558-9953,STUDENT
CB.EN.FTCSE20000,Ophelia Enriquez,    charismatic,cb.en.ftcse20000@cb.amrita.edu,+91-935-552-6086,MENTOR
CB.EN.FTCSE20001,Aadil Cairns,    disposition,cb.en.ftcse20001@cb.amrita.edu,+91-755-572-2540,FACULTY
CB.EN.FTCSE20002,Ira Mcintyre,    courtship,cb.en.ftcse20002@cb.amrita.edu,+91-755-552-3064,FACULTY
CB.EN.FTCSE20003,Honor Holder,    declaration,cb.en.ftcse20003@cb.amrita.edu,+91-935-552-6195,FACULTY
CB.EN.FTCSE20004,Sally Needham,    attraction,cb.en.ftcse20004@cb.amrita.edu,+91-755-566-7743,FACULTY
CB.EN.FTCSE20005,Avani Pearson,    objective,cb.en.ftcse20005@cb.amrita.edu,+91-915-552-6882,FACULTY
CB.EN.FTCSE20006,Doris Charles,    variation,cb.en.ftcse20006@cb.amrita.edu,+91-755-505-0194,MENTOR
CB.EN.FTCSE20007,Marjorie Bray,    exclusive,cb.en.ftcse20007@cb.amrita.edu,+91-855-575-0650,FACULTY
CB.EN.FTCSE20008,Aamna Heaton,    diplomatic,cb.en.ftcse20008@cb.amrita.edu,+91-935-558-4951,FACULTY
CB.EN.FTCSE20009,Jake Gay,    constitutional,cb.en.ftcse20009@cb.amrita.edu,+91-755-556-8719,FACULTY
CB.EN.FTCSE20010,Shahzaib Jenkins,    experiment,cb.en.ftcse20010@cb.amrita.edu,+91-755-543-3041,FACULTY
CB.EN.FTECE20000,Karter Nicholls,    acquisition,cb.en.ftece20000@cb.amrita.edu,+91-855-558-4242,MENTOR
CB.EN.FTECE20001,Carole Barr,    mainstream,cb.en.ftece20001@cb.amrita.edu,+91-945-552-1436,FACULTY
CB.EN.FTECE20002,Bayley Kennedy,    compliance,cb.en.ftece20002@cb.amrita.edu,+91-755-539-2604,FACULTY
CB.EN.FTECE20003,River Franklin,    straighten,cb.en.ftece20003@cb.amrita.edu,+91-855-561-6534,FACULTY
CB.EN.FTECE20004,Eshal Burrows,    performance,cb.en.ftece20004@cb.amrita.edu,+91-965-558-1853,FACULTY
CB.EN.FTECE20005,Ava-Mai O'Neill,    corruption,cb.en.ftece20005@cb.amrita.edu,+91-945-556-5340,FACULTY
CB.EN.FTEEE20000,Fraya Andrew,    application,cb.en.fteee20000@cb.amrita.edu,+91-925-556-9912,MENTOR
CB.EN.FTEEE20001,Maegan Sykes,    discovery,cb.en.fteee20001@cb.amrita.edu,+91-975-553-3827,FACULTY
CB.EN.FTEEE20002,Taslima Cherry,    hierarchy,cb.en.fteee20002@cb.amrita.edu,+91-985-553-7064,FACULTY
CB.EN.FTEEE20003,Mohamed Cunningham,    avant-garde,cb.en.fteee20003@cb.amrita.edu,+91-855-541-7995,FACULTY
CB.EN.FTEEE20004,Abdulrahman Vazquez,    nonremittal,cb.en.fteee20004@cb.amrita.edu,+91-855-522-4827,FACULTY
CB.EN.FTEEE20005,Briony Sutton,    restoration,cb.en.fteee20005@cb.amrita.edu,+91-755-567-8044,FACULTY
CB.EN.FTCIV20000,Reuben Oconnor,    distortion,cb.en.ftciv20000@cb.amrita.edu,+91-755-595-7160,MENTOR
CB.EN.FTCIV20001,Niam Correa,    talkative,cb.en.ftciv20001@cb.amrita.edu,+91-855-559-4464,FACULTY
CB.EN.FTCIV20002,Aairah Peralta,    photography,cb.en.ftciv20002@cb.amrita.edu,+91-955-551-0978,FACULTY
CB.EN.FTCIV20003,Jett Day,    management,cb.en.ftciv20003@cb.amrita.edu,+91-855-584-8728,FACULTY
CB.EN.FTMEC20000,Luc Floyd,    incapable,cb.en.ftmec20000@cb.amrita.edu,+91-915-553-8642,MENTOR
CB.EN.FTMEC20001,Anwar Cook,    revolution,cb.en.ftmec20001@cb.amrita.edu,+91-965-555-9564,FACULTY
CB.EN.FTMEC20002,Avi Wainwright,    essential,cb.en.ftmec20002@cb.amrita.edu,+91-855-507-3019,FACULTY
CB.EN.FTMEC20003,Caio Donovan,    computing,cb.en.ftmec20003@cb.amrita.edu,+91-855-540-6401,FACULTY
